class_id,class_name,radlex,radlex_match,needs_review,notes
tracheal_deviation,Tracheal deviation,no direct match,none,yes,Only trachea anatomy and generic deviation/deviated descriptors were found.
elevated_or_eventrated_hemidiaphragm,Elevated/eventrated hemidiaphragm,composite: RID5248 | eventration; RID5842 | elevated position; RID28909 | hemidiaphragm,composite,yes,"No single merged finding concept; eventration is direct, elevation requires descriptor + anatomy."
flattened_diaphragm,Flattened diaphragm,composite: RID5880 | flattened; RID1524 | diaphragm,composite,yes,Anatomy + descriptor only; no dedicated finding concept.
hernia,Hernia,RID4895 | hernia,exact,no,Umbrella; related subtypes include hiatal and diaphragmatic hernia.
hiatal_hernia,Hiatal hernia,RID4897 | hiatal hernia,exact,no,
pneumoperitoneum,Pneumoperitoneum,RID4803 | pneumoperitoneum,exact,no,
bone_fracture,Bone fracture,RID4650 | fracture,exact,no,Umbrella fracture concept; not limited to the CXR field of view.
clavicle_fracture,Clavicle fracture,RID4650 | fracture,broader,yes,No clavicle-specific fracture concept; clavicle anatomy is RID1854.
rib_fracture,Rib fracture,RID4650 | fracture,broader,yes,No rib-specific fracture concept; rib anatomy is RID2471.
vertebral_compression_fracture,Vertebral compression fracture,RID4658 | compression fracture,close,yes,Compression-fracture concept does not encode vertebral localization.
focal_osseous_lesion,Focal osseous lesion,RID38780 | lesion,broader,yes,Generic lesion; no focal osseous-lesion concept found.
degenerative_osseous_change,Degenerative osseous change,composite: RID5076 | osteophyte; RID3555 | osteoarthritis; RID5121 | spondylosis deformans,composite,yes,Representative manifestations; no single umbrella matching the ontology scope.
radiographic_osteopenia,Radiographic osteopenia,RID5388 | osteopenia,exact,no,
scoliosis,Scoliosis,RID4756 | scoliosis,exact,no,
kyphosis,Kyphosis,RID4759 | kyphosis,exact,no,
support_device_present,Support device present,RID29033 | medical device,close,yes,Broad medical-device concept; current ontology requires visible therapeutic hardware on CXR.
support_line_present,Support line present,RID5576 | catheter,close,yes,Closest umbrella; catheter is broader/different from the ontology line-only scope.
support_tube_present,Support tube present,RID5555 | tube,close,yes,Generic tube concept; current ontology is therapeutic support tubes on CXR.
endotracheal_tube,Endotracheal tube,RID5557 | endotracheal tube,exact,no,
enteric_tube,Enteric tube,composite: RID5566 | nasogastric tube; RID5562 | gastric tube; RID5570 | orogastric tube,composite,yes,No single enteric-tube umbrella found; representative included tube types.
central_venous_catheter,Central venous catheter,RID5578 | central venous catheter,exact,no,
chest_tube,Chest tube,RID5573 | thoracostomy tube,exact,no,Equivalent device concept.
pacemaker_or_icd,Pacemaker/ICD,composite: RID5436 | pacemaker; RID5434 | automated implantable cardiac defibrillator,composite,no,Ontology intentionally merges pacemaker and ICD.
prosthetic_cardiac_valve,Prosthetic cardiac valve,RID5550 | prosthetic cardiac valve,exact,no,
vascular_graft_or_stent,Vascular graft/stent,composite: RID50361 | vascular stent; RID3751 | graft,composite,yes,Vascular stent is direct; graft is generic and does not encode vascular localization.
breast_implant,Breast implant,RID34710 | breast implant,exact,no,
sternotomy_wires,Sternotomy wires,no direct match,none,yes,Median sternotomy is a procedure and does not itself establish visible wires; no wire-device concept found.
device_abnormality,Device abnormality,RID4753 | malposition,close,yes,"Covers position abnormality, but not the full integrity scope (fracture, discontinuity, disconnection)."
subcutaneous_emphysema,Subcutaneous emphysema,no direct match,none,yes,Not present as preferred label or synonym in this RadLex export.
nontherapeutic_foreign_body,Nontherapeutic foreign body,RID5425 | foreign body,broader,yes,RadLex foreign body is generic; the ontology excludes therapeutic devices and hardware.
azygos_lobe,Azygos lobe,RID43259 | azygos fissure,close,yes,Azygos fissure is the defining structure; no azygos-lobe term found.
